Name,Train R²,Test R²,Validation R²,Train MAPE,Test MAPE,Validation MAPE
AVRN,1.0,1.0,1.0,,,
"City of Tacoma, Department of Public Utilities",0.9154118239913659,0.9094288972823321,0.857274369671809,4.924349781047388,5.351258933992057,5.329502287797014
"Puget Sound Energy, Inc.",0.912511049595347,0.9075793759739029,0.8952616660959711,4.6500396804495745,5.095560562334136,4.5753685192471325
Seattle City Light,0.9019047113300231,0.8904792751591664,0.8563531481997826,4.623730077508654,5.088465728262754,4.6503753363978175
Avista Corporation,0.9024936613580006,0.8704059569344151,0.8857633925650212,5.118513554733365,5.514174751654911,5.7176303925404754
PACW-TAC,0.8701155337100417,0.8415560636065961,0.844978870330612,5.0990416798179865,5.42196532242955,6.01358543386505
Portland General Electric Company,0.8537674887490947,0.7647137239441775,0.7706911866293796,4.999231597246729,5.793831041502865,7.262622609324063
BPA,0.8800224605677939,0.7612971954953001,0.6475893505980429,4.334745763000665,5.960384067232181,6.792222137562695
Idaho Power Company,0.8639464819581011,0.6131173098532114,0.6663990293922196,7.077090234561208,8.915168332798716,7.26326434699513
