Name,Best Poly Order,Train R²,Test R²,Validation R²,Train MAPE,Test MAPE,Validation MAPE
AVRN,5,1.0,1.0,1.0,,,
"Puget Sound Energy, Inc.",5,0.9939711534072256,0.9705258243001749,0.9684515391657468,1.1787117004634373,2.701044900749958,2.2025548133551327
"City of Tacoma, Department of Public Utilities",5,0.9964082968571603,0.9570297260927848,0.9700466067165242,0.9773328260534483,3.3955266344589776,2.5211720151405546
Avista Corporation,5,0.9927241270140429,0.9560140144678982,0.9283917847523244,1.3372880504328086,3.101193041057165,4.150703215504623
Seattle City Light,5,0.9880774180530061,0.9558284411303016,0.9523886402318377,1.5481654600318733,3.097080465120974,2.467935337527588
PACW-TAC,5,0.9946015800903641,0.9513583443194799,0.9668723119975965,0.9857806606012768,2.838833205182619,2.5932764590336785
BPA,5,0.9948410103436688,0.9197431942292571,0.834444288608881,0.859586371257539,3.282120511735493,4.633880194123902
Idaho Power Company,5,0.9924699307351142,0.8447017056329522,0.7955938697284203,1.463872453935719,5.486690178314352,5.584711191325447
Portland General Electric Company,5,0.9844042244871967,0.8282643663982378,0.8070671465932182,1.5812993290982618,5.507646572389339,7.008010811428754
