Name,Train R²,Test R²,Validation R²,Train MAPE,Test MAPE,Validation MAPE,Best Parameters
PACW-TAC,0.9945116251891255,0.9861973270987643,0.9651387663913974,1.003577107876355,1.6822217086865554,2.382180349148889,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 800, 'subsample': 0.8, 'colsample_bytree': 0.7, 'min_child_weight': 5, 'gamma': 0.1}"
"Puget Sound Energy, Inc.",0.9974540898647183,0.985170910338638,0.9678873348967039,0.7834193777235068,1.5382250589859647,2.0102461857798284,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 800, 'subsample': 0.8, 'colsample_bytree': 0.7, 'min_child_weight': 7, 'gamma': 0.1}"
BPA,0.997045893626012,0.9813668900069206,0.9629349944014408,0.6538639976590619,1.4458657093607603,1.7517902654104116,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 800, 'subsample': 0.9, 'colsample_bytree': 0.8, 'min_child_weight': 5, 'gamma': 0.1}"
"City of Tacoma, Department of Public Utilities",0.9988079590515989,0.9796048468352285,0.9582003576890143,0.5874625183301111,2.048110428190498,2.3861718909128413,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 800, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 5, 'gamma': 0}"
Avista Corporation,0.9973245898865057,0.9761781184910168,0.9700297459530152,0.8384407651651781,2.507863339673744,2.671664134401756,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 800, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 7, 'gamma': 0.1}"
Portland General Electric Company,0.995852948791284,0.9755071252397884,0.9161748319435011,0.8162690423935214,2.2556589297858882,3.5572523159130944,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 800, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 3, 'gamma': 0.1}"
Seattle City Light,0.997395564973645,0.9665839182302426,0.9429473184605096,0.7561663960006253,2.177561388244951,2.534435308519551,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 800, 'subsample': 0.7, 'colsample_bytree': 0.8, 'min_child_weight': 5, 'gamma': 0.1}"
Idaho Power Company,0.999775755759011,0.8879192457540562,0.9361374233029909,0.26079536829748884,4.531175568127892,3.4941167373475808,"{'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 800, 'subsample': 0.7, 'colsample_bytree': 0.7, 'min_child_weight': 7, 'gamma': 0}"
Total Load,0.9986698633690341,0.5614335792298079,0.9435256248625594,0.46120310460261776,inf,2.083538344049867,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 400, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 3, 'gamma': 0.1}"
