Name,Train R²,Test R²,Validation R²,Train MAPE,Test MAPE,Validation MAPE,Best Parameters
"Puget Sound Energy, Inc.",0.9974540898647183,0.985170910338638,0.970405667641901,0.7834193777235068,1.5382250589859647,1.940097203591926,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 800, 'subsample': 0.8, 'colsample_bytree': 0.7, 'min_child_weight': 7, 'gamma': 0.1}"
BPA,0.997045893626012,0.9813668900069206,0.9636068945589618,0.6538639976590619,1.4458657093607603,1.8531609726925506,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 800, 'subsample': 0.9, 'colsample_bytree': 0.8, 'min_child_weight': 5, 'gamma': 0.1}"
BPA,0.997045893626012,0.9813668900069206,0.9636068945589618,0.6538639976590619,1.4458657093607603,1.8531609726925506,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 800, 'subsample': 0.9, 'colsample_bytree': 0.8, 'min_child_weight': 5, 'gamma': 0.1}"
"City of Tacoma, Department of Public Utilities",0.9988079590515989,0.9796048468352285,0.9520156851070752,0.5874625183301111,2.048110428190498,2.7343823278639365,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 800, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 5, 'gamma': 0}"
Avista Corporation,0.9973245898865057,0.9761781184910168,0.9668356334447633,0.8384407651651781,2.507863339673744,3.019675029077758,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 800, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 7, 'gamma': 0.1}"
Avista Corporation,0.9973245898865057,0.9761781184910168,0.9668356334447633,0.8384407651651781,2.507863339673744,3.019675029077758,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 800, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 7, 'gamma': 0.1}"
Portland General Electric Company,0.995852948791284,0.9755071252397884,0.9259774581310805,0.8162690423935214,2.2556589297858882,3.445341180915753,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 800, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 3, 'gamma': 0.1}"
Seattle City Light,0.997395564973645,0.9665839182302426,0.9420842777515377,0.7561663960006253,2.177561388244951,2.503929264706248,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 800, 'subsample': 0.7, 'colsample_bytree': 0.8, 'min_child_weight': 5, 'gamma': 0.1}"
Idaho Power Company,0.999775755759011,0.8879192457540562,0.9325454291564881,0.26079536829748884,4.531175568127892,3.6139419071959935,"{'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 800, 'subsample': 0.7, 'colsample_bytree': 0.7, 'min_child_weight': 7, 'gamma': 0}"
